City_ID,City,Country,Date,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
158,Port-Cartier,CA,4/12/2022 3:21,50.0334,-66.8654,-0.88,93,46,2.3,scattered clouds
159,Bengkulu,ID,4/12/2022 3:21,-3.8004,102.2655,28.86,66,68,0.97,broken clouds
160,Rāvar,IR,4/12/2022 3:21,31.2656,56.8055,19.75,13,0,1.35,clear sky
161,Yangi Marg`ilon,UZ,4/12/2022 3:21,40.4272,71.7189,22.4,37,100,2.06,overcast clouds
162,Río Gallegos,AR,4/12/2022 3:18,-51.6226,-69.2181,4.03,75,0,5.14,clear sky
163,Melo,UY,4/12/2022 3:21,-32.3667,-54.1833,18.69,94,53,1.65,broken clouds
164,Matara,LK,4/12/2022 3:17,5.9485,80.5353,28.44,73,98,2.81,overcast clouds
165,Ilām,NP,4/12/2022 3:21,26.9167,87.9167,20.8,75,68,1.68,broken clouds
166,Normandin,CA,4/12/2022 3:21,48.8333,-72.5321,3.17,93,100,1.48,overcast clouds
167,Mount Gambier,AU,4/12/2022 3:21,-37.8333,140.7667,17.47,43,27,3.95,scattered clouds
168,Tilichiki,RU,4/12/2022 3:21,60.4667,166.1,-11.83,82,100,5.99,overcast clouds
169,Bethel,US,4/12/2022 3:21,41.3712,-73.414,9.07,68,100,1.34,overcast clouds
170,Agüimes,ES,4/12/2022 3:21,27.9054,-15.4461,16.19,70,75,5.66,broken clouds
171,Huatusco,MX,4/12/2022 3:21,19.15,-96.95,20.51,69,76,2.12,broken clouds
172,Dingle,PH,4/12/2022 3:21,10.9995,122.6711,25.05,90,100,3.84,moderate rain
173,Lobva,RU,4/12/2022 3:21,59.1854,60.5185,1.3,97,83,2.14,broken clouds
174,Ortaköy,TR,4/12/2022 3:21,38.7373,34.0387,0.14,84,100,5.63,overcast clouds
175,Departamento de Maldonado,UY,4/12/2022 3:21,-34.6667,-54.9167,18.66,94,44,3.07,scattered clouds
176,Prachuap Khiri Khan,TH,4/12/2022 3:21,12.2167,99.75,31.49,45,72,2.72,broken clouds
177,Chu,KZ,4/12/2022 3:21,43.5983,73.7614,17.12,59,100,0.56,overcast clouds
178,Qujing,CN,4/12/2022 3:21,25.4833,103.7833,12.83,81,100,5.28,overcast clouds
